Conceito Médio de Graduação;Conceito Médio de Mestrado;Conceito Médio do doutorado;DOC. EXERCÍCIO;Cotitular_Sistema_S;Cotitular_Unidades_Centros_Pesquisa;Cotitular_Orgao_Publico;Cotitular_Pessoa_Fisica;Cotitular_Empresa_Parc_Estrangeiro;Cotitular_Entidade_Privada;Cotitular_Empresa_Pública_SEM;Cotitular_Empresa_Privada;Cotitular_Agencia_Fomento;ÁREA DE CONHECIMENTO DE ORIGEM;Região;Houve TT?
3,5886;4,6508;3,6839;2997;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Ciências da Saúde;Sudeste;NÃO
3,5886;4,6508;3,6839;2997;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Engenharias;Sudeste;NÃO
3,5886;4,6508;3,6839;2997;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sudeste;NÃO
3,5886;4,6508;3,6839;2997;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
3,5886;4,6508;3,6839;2997;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
3,5886;4,6508;3,6839;2997;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Ciências Exatas e da Terra;Sudeste;NÃO
3,5886;4,6508;3,6839;2997;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
3,5886;4,6508;3,6839;2997;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
3,5886;4,6508;3,6839;2997;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
3,5886;4,6508;3,6839;2997;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
3,5886;4,6508;3,6839;2997;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sudeste;NÃO
3,5886;4,6508;3,6839;2997;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sudeste;NÃO
3,5886;4,6508;3,6839;2997;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
3,5886;4,6508;3,6839;2997;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Ciências Agrárias;Sudeste;NÃO
3,5886;4,6508;3,6839;2997;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
3,5886;4,6508;3,6839;2997;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
3,5886;4,6508;3,6839;2997;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Biológicas;Sudeste;NÃO
3,5886;4,6508;3,6839;2997;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Engenharias;Sudeste;NÃO
3,5886;4,6508;3,6839;2997;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;SIM
3,5886;4,6508;3,6839;2997;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Ciências da Saúde;Sudeste;NÃO
3,5886;4,6508;3,6839;2997;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Engenharias;Sudeste;NÃO
3,5886;4,6508;3,6839;2997;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Biológicas;Sudeste;NÃO
3,5886;4,6508;3,6839;2997;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
3,5886;4,6508;3,6839;2997;Não;Não;Não;Não;Não;Não;Não;Sim;Sim;Ciências Agrárias;Sudeste;SIM
3,5886;4,6508;3,6839;2997;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
3,5886;4,6508;3,6839;2997;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
3,5886;4,6508;3,6839;2997;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Ciências da Saúde;Sudeste;NÃO
3,5886;4,6508;3,6839;2997;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
3,5886;4,6508;3,6839;2997;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
3,5886;4,6508;3,6839;2997;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Agrárias;Sudeste;NÃO
3,5886;4,6508;3,6839;2997;Não;Não;Não;Não;Não;Não;Não;Não;Não;Linguística, Letras e Artes;Sudeste;NÃO
3,5886;4,6508;3,6839;2997;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;Ciências da Saúde;Sudeste;NÃO
3,5886;4,6508;3,6839;2997;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
3,5886;4,6508;3,6839;2997;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
3,5886;4,6508;3,6839;2997;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sudeste;NÃO
3,5886;4,6508;3,6839;2997;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
3,5886;4,6508;3,6839;2997;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Ciências Biológicas;Sudeste;NÃO
3,5886;4,6508;3,6839;2997;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Ciências Exatas e da Terra;Sudeste;NÃO
3,5886;4,6508;3,6839;2997;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Engenharias;Sudeste;SIM
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;SIM
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Biológicas;Sudeste;SIM
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Biológicas;Sudeste;SIM
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Biológicas;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Ciências Biológicas;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Biológicas;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Biológicas;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Biológicas;Sudeste;SIM
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Biológicas;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Biológicas;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Agrárias;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Biológicas;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Biológicas;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sudeste;NÃO
3,3577;4,8229;4,9425;3467;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Ciências Exatas e da Terra;Sudeste;NÃO
3,3577;4,8229;4,9425;3467;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Ciências Exatas e da Terra;Sudeste;NÃO
3,379;4,8075;4,9405;3530;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Ciências Exatas e da Terra;Sudeste;NÃO
3,3577;4,8229;4,9425;3467;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
3,3577;4,8229;4,9425;3467;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Ciências Exatas e da Terra;Sudeste;NÃO
#N/D;#N/D;#N/D;3490;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Ciências da Saúde;Sudeste;NÃO
3,379;4,8075;4,9405;3530;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Biológicas;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Ciências Biológicas;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Ciências Exatas e da Terra;Sudeste;NÃO
#N/D;#N/D;#N/D;2421;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Biológicas;Sudeste;NÃO
3,4023;4,8513;4,9373;3269;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
3,4023;4,8513;4,9373;3269;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
3,3889;4,8475;4,9382;3114;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
3,4023;4,8513;4,9373;3269;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
3,4423;4,6437;3,6808;3021;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sudeste;NÃO
3,3889;4,8475;4,9382;3114;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Biológicas;Sudeste;NÃO
#N/D;#N/D;#N/D;3490;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Indeterminada;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Biológicas;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Ciências Biológicas;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Biológicas;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
#N/D;#N/D;#N/D;3490;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
#N/D;#N/D;#N/D;3490;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
#N/D;#N/D;#N/D;3490;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
#N/D;#N/D;#N/D;3490;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
2,9318;3,6086;2,4718;1126;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Humanas;Centro-Oeste;NÃO
2,9318;3,6086;2,4718;1126;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Humanas;Centro-Oeste;NÃO
2,7831;3,5648;2,1262;1285;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Humanas;Centro-Oeste;NÃO
2,7831;3,5648;2,1262;1285;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Humanas;Centro-Oeste;NÃO
2,7831;3,5648;2,1262;1285;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Humanas;Centro-Oeste;NÃO
2,7237;4,2434;4,5578;1613;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Sociais Aplicadas;Centro-Oeste;NÃO
2,8583;4,3668;4,6967;1704;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Humanas;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Biológicas;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Centro-Oeste;NÃO
2,8256;3,5548;2,4143;1217;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Centro-Oeste;NÃO
2,7609;4,2586;4,5495;1602;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Biológicas;Centro-Oeste;NÃO
2,7609;4,2586;4,5495;1602;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Agrárias;Centro-Oeste;NÃO
2,9355;3,6577;2,5202;999;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Sociais Aplicadas;Centro-Oeste;NÃO
2,9355;3,6577;2,5202;999;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Sociais Aplicadas;Centro-Oeste;NÃO
2,8256;3,5548;2,4143;1217;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Engenharias;Centro-Oeste;NÃO
2,8256;3,5548;2,4143;1217;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Engenharias;Centro-Oeste;NÃO
2,7831;3,5648;2,1262;1285;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Humanas;Centro-Oeste;NÃO
2,7831;3,5648;2,1262;1285;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Sociais Aplicadas;Centro-Oeste;NÃO
2,7831;3,5648;2,1262;1285;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Sociais Aplicadas;Centro-Oeste;NÃO
2,7831;3,5648;2,1262;1285;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Ciências Agrárias;Centro-Oeste;NÃO
2,7237;4,2434;4,5578;1613;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Humanas;Centro-Oeste;NÃO
2,7237;4,2434;4,5578;1613;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Centro-Oeste;NÃO
2,7237;4,2434;4,5578;1613;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Centro-Oeste;NÃO
2,7609;4,2586;4,5495;1602;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Ciências Exatas e da Terra;Centro-Oeste;NÃO
2,7237;4,2434;4,5578;1613;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Ciências Agrárias;Centro-Oeste;NÃO
2,7609;4,2586;4,5495;1602;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Centro-Oeste;NÃO
2,7609;4,2586;4,5495;1602;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Sociais Aplicadas;Centro-Oeste;NÃO
2,7609;4,2586;4,5495;1602;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Humanas;Centro-Oeste;NÃO
2,7609;4,2586;4,5495;1602;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Ciências Agrárias;Centro-Oeste;NÃO
2,7609;4,2586;4,5495;1602;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Humanas;Centro-Oeste;NÃO
2,7609;4,2586;4,5495;1602;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Centro-Oeste;NÃO
2,7898;4,2321;4,547;1645;Não;Não;Não;Não;Não;Sim;Não;Sim;Não;Ciências Biológicas;Centro-Oeste;NÃO
2,7898;4,2321;4,547;1645;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Centro-Oeste;NÃO
2,8583;4,3668;4,6967;1704;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Humanas;Centro-Oeste;NÃO
2,8583;4,3668;4,6967;1704;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Humanas;Centro-Oeste;NÃO
2,8583;4,3668;4,6967;1704;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Centro-Oeste;NÃO
2,8583;4,3668;4,6967;1704;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Centro-Oeste;NÃO
2,8583;4,3668;4,6967;1704;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Sociais Aplicadas;Centro-Oeste;NÃO
2,8583;4,3668;4,6967;1704;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Centro-Oeste;NÃO
2,8583;4,3668;4,6967;1704;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Centro-Oeste;NÃO
2,8583;4,3668;4,6967;1704;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Centro-Oeste;NÃO
2,8583;4,3668;4,6967;1704;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Centro-Oeste;NÃO
2,8583;4,3668;4,6967;1704;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Biológicas;Centro-Oeste;NÃO
2,8583;4,3668;4,6967;1704;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Ciências Biológicas;Centro-Oeste;NÃO
2,8583;4,3668;4,6967;1704;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Sociais Aplicadas;Centro-Oeste;NÃO
2,8583;4,3668;4,6967;1704;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Humanas;Centro-Oeste;NÃO
2,8583;4,3668;4,6967;1704;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Centro-Oeste;NÃO
2,8583;4,3668;4,6967;1704;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Centro-Oeste;NÃO
2,8583;4,3668;4,6967;1704;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Humanas;Centro-Oeste;NÃO
2,8583;4,3668;4,6967;1704;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Centro-Oeste;NÃO
2,8583;4,3668;4,6967;1704;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Sociais Aplicadas;Centro-Oeste;NÃO
2,9241;4,3685;4,6856;1453;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Centro-Oeste;NÃO
2,9241;4,3685;4,6856;1453;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Sociais Aplicadas;Centro-Oeste;NÃO
2,9241;4,3685;4,6856;1453;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Ciências Exatas e da Terra;Centro-Oeste;NÃO
2,9241;4,3685;4,6856;1453;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Ciências Agrárias;Centro-Oeste;NÃO
2,9241;4,3685;4,6856;1453;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Ciências Agrárias;Centro-Oeste;NÃO
2,9241;4,3685;4,6856;1453;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Centro-Oeste;NÃO
2,9241;4,3685;4,6856;1453;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Centro-Oeste;NÃO
2,9241;4,3685;4,6856;1453;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Humanas;Centro-Oeste;NÃO
2,9241;4,3685;4,6856;1453;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Humanas;Centro-Oeste;NÃO
2,9241;4,3685;4,6856;1453;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Humanas;Centro-Oeste;NÃO
2,9241;4,3685;4,6856;1453;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Ciências Agrárias;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;1450;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Sociais Aplicadas;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;1450;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;1450;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Ciências Exatas e da Terra;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;1450;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;1450;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Humanas;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;1450;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;1450;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;1450;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Humanas;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;1450;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;1450;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Engenharias;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;1450;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Ciências Exatas e da Terra;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;1450;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Ciências Sociais Aplicadas;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Humanas;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Sociais Aplicadas;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Agrárias;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Sociais Aplicadas;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Ciências Exatas e da Terra;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Ciências Exatas e da Terra;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Ciências Exatas e da Terra;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Humanas;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Sociais Aplicadas;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Sociais Aplicadas;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Agrárias;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Sociais Aplicadas;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Humanas;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Ciências Agrárias;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Sociais Aplicadas;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Centro-Oeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Centro-Oeste;NÃO
